,DESCRIPTION,CITY
3271,"on my way home from an evening lecture,I noticed two men following me but was lucky to escape as a friend joined me",Nairobi
3272,"on  my way to town in a vehicle,I saw a woman running naked outside men were really angered with this that they started insulting her.",Nairobi
3273,"my classmate looks at me in a funny way, whenever our eyes meet he winks at me or starts to make funny facial expression",Nairobi
3274,"my friends and I were coming from church,we met this old man who called one of my friends to help him opperate a phone,my friend went to assist him only to find that the man wanted her to watch porn videos on the phone",Nairobi
3275,a man who wa following me to the shop came and touched my butt.he tried to do it again but I ran away,Nairobi
3276,one day I saw men taking ohotos of the women passing by them,Nairobi
3277,as I wa in a shop the boys standing outside the shop called onto a lady passing and when she came they kissed her by force,Nairobi
3278,a class eight girl was bought sweets and told to remove her clothes by the man who bought her the sweets when she refused the man raped her,Nairobi
3279,she was visiting the uncle during the holidays when the uncle one day removed his clothes on the couch and asked her to do the same.she wa scared and so she ran away,Nairobi
3280,"when I  went to the staffroom, there were no teachers apart from mr. Ondigo who told me to go to his house .i was scared and ran away",Nairobi
3281,"very early in the morning going to church,two men who were following her caught her and tried to rape her before she screamed and ran away",Nairobi
3282,she was on her way home from her grandparents place when a man appeared infront of her and carried her to a bush and raped her,Nairobi
3283,we do watch porn at &quot;veteran video room&quot; from 8 pm till 10 pm,Nairobi
3284,I confronted and fought off 3 young men who wanted to rape a young girl during the Nairobi International Trade Fair.they were forcefully touching her private parts,Nairobi
3285,my landloard and his wife have a routine of drinking silly and going naked while he calls out for girls,Nairobi
3286,a man was seen squeezing a girl in a corner while forcefully touching her,Nairobi
3287,Chatting and befriending different people on facebook has made guys sending me ponographic pictures and their persuading me to send mine.,Nairobi
3288,my friend took me  to a man's house the man had offered to teach us our homework.when we reached there my friend left me with the man who started removing his clothes and advancing towards me. I was lucky as I escaped rape by screaming and running away,Nairobi
3289,"a friend I trusted so much sodomoised a class 5 pupil at highrise,I did not reort",Nairobi
3290,a man invited a girl to come and help him fetch water and get paid .the girl went and when she was done the man locked the door and after a couple of hours the girl came out with money,Nairobi
3291,"I saw a girl being called by some boys,she was around 15 yrs.she laughed and went ahead to follow the boys to a more darker space.",Nairobi
3292,my friend calls me over on a weekend and I go.on reaching there the guy gets weired with me that’s when he told me he wanted to sleep with me. He is gay..,Nairobi
3293,my neighbour comes out of the house during weekends half -naked when my little sisters are out playing.he then goes ahead and starts shouting to attract attention,Nairobi
3294,my friend calls me on saturdays to come by their house and watch porn while his parents are not around,Nairobi
3295,we watch porn as we wait to watch a football match.(apocalipto),Nairobi
3296,I was called by these boys to go and join them.i was in my school uniform but that didn’t stop them from caling me. &quot;whats up cuty mind joining us&quot;,Nairobi
3297,despite being in uniform I was being called by the men who were sitting along the road chewing khat.,Nairobi
3298,my mother was raped by unknown men on her way back from the market,Nairobi
3299,I was in a bus from town and this man sitted behind me kept on calling out the window for girls along the road,Nairobi
3300,my daughter was raped by the youths who sit along the river pretending to  be cleaning the river.,Nairobi
3301,men sitting around kamkunji area tell us that they would give us money if we slept with them. If we tell them &quot;NO&quot; they insult us saying that we wil age as they watch,Nairobi
3302,"boys sitting around the big street light and playing ludo always disturb us on our way to school and back.they call us names like;sweetie,lovely, cuty. And this makes us uncomfortable",Nairobi
3303,my sister and I were walking going home when we met these boys who stopped us and took our purses from us and then grabbed my sister by her thighs and said..&quot;you are the hot one&quot;,Nairobi
3304,we do watch porn at &quot;veteran video room&quot; from 8 pm till 10 pm,Nairobi
3305,we were attending a funeral ceremony at night and there wa music when men came out of nowhere and attacked us.they stole all the speakers and raped a girl,Nairobi
3306,there is this man who follows me evrywhere and evrytime.people say he is mad but I suspect him,Nairobi
3307,"I was in a vehicle going to school and then we got to a stage where the tout decided to change us onto another vehicle, I tried to stop them becausse we were getting late but the driver insulted me..&quot;you bitch shut up&quot;",Nairobi
3308,my drunkard friend was assaulted sexually when he got involved in a gang fight,Nairobi
3309,"I attended a party once  and was shocked to arrive late only to find a group of guys taking turns to have sex with this one drunk girl,she was my friend",Nairobi
3310,"I was heading to work when I noticed someone following me,I decided to change routes and that’s when he shoouted saying am a prostitute and didn’t have a golden vagina..!!!",Nairobi
3311,my friend was wearing a short dress and walked by an open bar where men were sitted outside drinking.after seeing her they all started saying things.one said that he would even pay for &quot;it&quot;,Nairobi
3312,on my way to the market I was stepped onby this strander who went on to call me a prostitutte after I pushed him off,Nairobi
3313,I was in a salon doing my hair and the other salonists were busy watching porn and it was on loud speaker.they were even imitating the sounds and styles.,Nairobi
3314,I was going to toi market when I came across a man who hit me with his shoulders and then raised his eyebrows at me and winked. I was so pissed,Nairobi
3315,a female househelp was raped by a man who brings water to their house.the girl screamed and the man ws arrested,Nairobi
3316,a group of girls ran away after thy realized that they were being followed by some men who had bad intentions because they were calling and whistling at them,Nairobi
3317,there is a man in my neighbourhood who kidnaps girls and rape them.one of the victims said that she was carried away and dumped,Nairobi
3318,a sixteen year old girl was raped by a group of four men during one of the Nubian celebration,Nairobi
3319,as I was fetching water some girls wearing short dresses came to fetch water too .the men who were there started questioning their dressing the girls screamed as they were about to be stripped,Nairobi
3320,a boy was  caught by unknown men and sodomised after being threatened by a knife,Nairobi
3321,a girl was being beaten and dragged by her hair on the road,Nairobi
3322,a father in my neighbourhood engaged in sexual activities with his own daughter forcefully,Nairobi
3323,"a guy slapped a lady's back and it wasn’t in a good way,when the lady complained the guy slapped her  and started calling her names",Nairobi
3324,"as I  was walking along the roadside, this man wanted to touch my burst but I stopped him before he did so.the next time I met him he made sure that he touched my butt.it was so annoying",Nairobi
3325,a group of men brought two high  school girls in a house and raped them.she tried to scream but she was  beaten up,Nairobi
3326,on my way back home from work aound 7.30 pm a stranger was whistling at me as I tried to ignore he came up straight to me and told me &quot;you day I coming&quot;.i was scared.,Nairobi
3327,on her way back from work some men around darajani grabbed her and touched her breasts,Nairobi
3328,she was on her way to work when a man told her that she looked hot that day &quot;umeivaa leo&quot;,Nairobi
3329,she was on her way to toi market when she was stopped by two men to take a photo with her.,Nairobi
3330,my friends and I were walking to school along darajani when a group of men sitting on the poles started calling us and mocking our dressing mode while laughing.we felt reallybad,Nairobi
3331,a girl was walking from makina stage when she came across a group of men sitting next to a berber shop.they called to great them and when she ignored they started insulting her,Nairobi
3332,a group of men seated outside a bar was calling a young woman &quot;darling&quot; as she was passing by.the girl had a T-shirt on written (darling),Nairobi
3333,I know of a girl who's sister was raped by some naughty boys when shesneaked out of the house at night to have some good times with girlfriends,Nairobi
3334,on my way home there was this man who was calling out on people then pretends not to have called them.he did the same to me but mine was different ashe started following me while calling out loud.i stopped and asked him what he wanted only to find out that he wanted me to follow him to his house,Nairobi
3335,I was about to get into the church's compound when a middle aged man passed and asked me if my vagina was dirty and I wanted God to clean it...!!!,Nairobi
3336,I was walking going to school when a group of men sitted around the garage started calling me and laughing while talking,Nairobi
3337,I was passing by the railwy line when I came acroos two men.one of them was licking ice cream and asked me to have the ice too. As the other one commented on how good I would look with the ice cream,Nairobi
3338,boys seated around a nursery school just around a corner whistle and comment as girls passed me beng included,Nairobi
3339,"my friend and I were walking home when a group of boys seated around a corner started whistling at us.when we pretende not to have heard them,they started calling us names.we felt really bad",Nairobi
3340,"I was from the bank going back home when a man acroos the street in a car called me,I went and on reaching there he touched my butt and asked me to go with him .i was afraid and ran home",Nairobi
3341,on my home with a group of female friends.we came across this groiup of men that was looking at us and laughing. It made us feel awful,Nairobi
3342,she was walking home in the evening and a man she didn’t grabbed her by her hand wanting to touch her private parts.she fought him off and fell in a ditch.she felt bad as she was all dirty and smelly,Nairobi
3343,"after a man being caught by his wife cheating,he got hold of the wife and beat her up leaving her bleeding and taking off with the other woman",Nairobi
3344,a lady wearing a short dress and heels walks by a group of men standing by the road.the men start shouting at her of how she was indecently dressed the girl was forced to run off on heels fearing she could undressed,Nairobi
3345,a man seated next to me in a bus starts  to talk to me and I ignore..he insults (stupid prostitute) and dares to beat me. Iwas rescued by the other passengers in the vehicle,Nairobi
3346,a lady was asking for her change in a matatu when the tout refused to give her back her money as he arguedthat the lady didn’t knw how he worked and so shouldnot start teaching him how to do his job.it took the intervention of other passengers for the woman to get back her money,Nairobi
3347,a school girl was cornered by rouge boys on her way home for lunch.the boys touched her breasts commenting.&quot;these ones need to be taken care of&quot; the girl says she was lucky for it was during the day,Nairobi
3348,a lady wearing a short dress walking along kibera law courts drive .men seated  along the the road  started shouting how indecent she  was. She was soo embarrased,Nairobi
3349,a man was beating his wife until one of the neighbours called the police who came to her rescue,Nairobi
3350,a lady was blocked on her  way from  fetching water by a young man  who started to touch her breast and commenting&quot; these are as ripe as oranges&quot;,Nairobi
3351,a man wallks up to a girl greets her by the hand and refuses to let go and starts to rub it suggestively.looking at her suspiciously the girl took off towards the  main road leaving the man clicking,Nairobi
3352,three Ladies started calling out on me at night and I felt uncomfortable and embaarrased for I didn’t knw them nor what they wanted,Nairobi
3353,a man was beating his wife as the children watched.It was quite a disturbing scene for the the children,Nairobi
3354,a lady was walking along riverroad going to a cosmetic shop when men seated along the pevments started starring at her and shouting at her suggestively she ignored  provoking them .on her way back she was told &quot;you have nothing to be proud of&quot;,Nairobi
3355,asians around there give money for sexual favours,Nairobi
3356,in a matatu from  langata some men boarded the matatu and sat beside her and kept starring on.she felt uncomfortable as she could not tell if they were thieves or not.on allighting the men told her that she had nothing they would want as evrybody else laughed.,Nairobi
3357,a man I know incists on taking me to bed but I fear telling him off,Nairobi
3358,a girl was stopped by a man who then proceeded to seducing her as she was scared not knowing what to do,Nairobi
3359,a girl was grabbed by a man and around a corner when she fought back she was stabbed,Nairobi
3360,"&quot;at uhuru Park in town, my friend was being shouted at by street boys&quot;",Nairobi
3361,&quot;there is a child where I leave who was raped by someone I know&quot;,Nairobi
3362,&quot;I feel a strong hatred towards ladies but dont knw why.&quot;,Nairobi
3363,she was passing by and a boy started shouting at her suggestively,Nairobi
3364,The man was stalking her and caught her then started touching her,Nairobi
3365,she was passing  by and then there was a group of boys standing on the other side of the road suspectively shouting &quot;hey beauty&quot;,Nairobi
3366,whistled at by boys,Nairobi
3367,a girl was whistled at,Nairobi
3368,"A man was going to work very early in the morning when he met a group of wome seated by the roadside selling chapati and beans.  They started talking about him, what he had put on andmocking sexually.  The man blushed.",Nairobi
3369,I was on my way to the wedding with my girlfriend and we wore very decent clothes and at the bus stop some men tried to remove her clothes beating me up when I was defending her.  They realy touched her private parts.,Nairobi
3370,I was with my friend from school then some boys seated across the road started whistling at her calling her names,Nairobi
3371,A woman was raped by robers while going to work very early,Nairobi
3372,a girl was raped by her cousin who came for a visit in their house.,Nairobi
3373,the girl was raped by her dad,Nairobi
3374,"I have known this man for a long time, he is a family friend.  Ths evening I was home alone, he forced himself on me.",Nairobi
3375,As I walked from school heading home a lady who I knew by her body shape kept on whistling at me with no aparent reason.,Nairobi
3376,a woman was undressed with some boys who claimed she was indecently dressed.,Nairobi
3377,"A man had a fight with his wife after coming home drunk, the wife ran away and he raped his daughter.",Nairobi
3378,"we were playing hide and seek game.  I hide in a neighbour's house when I peeped in his bed.  He was having sex with another kid, I reported but nobody believed they said I was a liar.",Nairobi
3379,"I left my friends place and went to meet a friend of his.  This lady welcomed me very nicely but as we continued chatting, she put ponographic video to play.  It realy made feel uncomfortable since she was my friend's friend.",Nairobi
3380,"I met a new boy friend when I went to his place for the first time, he started showing me pnographic movies.  I closed my eyes, I was not comfortable since it was my first date and wanted to know hime bette.  After some time he removed his clothes and showing me his penis.",Nairobi
3381,she was sent to the shop when a man threatened to kill her if she did not sleep with him.  The girl ran away,Nairobi
3382,"Where we stay, there is a bang smoker who smokes on the way to the toilet, whenever I pass he tells me to take one puff but I have never given in.  How am I going to be helped?",Nairobi
3383,My friend told me unknown man touched her butts and threatened her to keep quite when she was passing and tried to unzip her trouser but he didn't manage to rape her somebody came to her rescue.,Nairobi
3384,"After my dad coming from pub, he comes home, beats our mum and have sex with her while we are watching, we sleep in the same houe ith them.",Nairobi
3385,my daughter was playing outside a neighbour gave her sweet and took her in his house.  When I was looking for her I found her on the neighbour's bed naked.,Nairobi
3386,my sister is insane.  There is a man who has been taking advantage of her situation and rape her and she is now HIV+,Nairobi
3387,A man helped me by giving a lift while it was raining.  Later before getting to kibera he started touching my thighs and private parts.,Nairobi
3388,"I sent my daughter to charge my phone in my neighbour's place.  He raped her, I feld so sad he gave me money and convinced me not to speak about it.  Am guilty as charged.",Nairobi
3389,"we had a party, my friends birthday.  We took alcohol but I did not intend to have sex.  The following morning just found myself naked, the had sex with me, was bleeding and that is how I lost my virginity.",Nairobi
3390,"on my way to themarket, I met a woman of the same age with my mum asking me to be her boyfriend.",Nairobi
3391,A child was raped by his uncle and ran away.  She was 13 years and became pregnant,Nairobi
3392,a boy was sodomised by his father,Nairobi
3393,I had gone to visit my cousin who stays there and at night when I arrived in that area some one followed me until I disappeared at a bent,Nairobi
3394,"I had this boy who to me was like a brother.  He was almost 24 years of age, heinvited me at his place where he stripped naked before me and told me to feel at home. I was so uncomfortable",Nairobi
3395,A man was walking in a street in Laini saba wearing a silver chain and he was not familiar with the ares.  Some boys just came and statched the chain off his neck and ran away.,Nairobi
3396,"we were in a hall watching a movie, all over a sudden I was seated next to a  man going watching ponographic movies in his phone and asking me to see what was happening in the movie.",Nairobi
3397,"it was in the afternoon, a man was following me taking photos of me without my concent especially my bubs",Nairobi
3398,a group of girls were walking from school.  They passed a group of men seated by the road side who started whistling to the primary school girls,Nairobi
3399,A man cheated a young girl with money and brought her to his house in pretence that he wanted to semd her to the shop.  He inserted his fingers into this chld's vagina,Nairobi
3400,"They were two grown up men/ fathers who have families.  It was by the road side when I was waiting for my friends, both of them touched both my breasts at once.  I got confused and did not even understand how it all happened.",Nairobi
3401,As we were going to Church with a friend in otiende a guy just stood in fronth showing us his penis.,Nairobi
3402,I was travelling in a bus to nairobi town from kibera and the man I sat next to kept showing me ponographic movies,Nairobi
3403,"I happened to be walking around, I had never been to this area, I had a beautiful chain around my neck, suddenly two men came around me, ordered silence and took away my chain while touching my boobs.",Nairobi
3404,"it was in the mornin, was coming from Church around 5:30 am in woodley when we met thugs.  They told us to lie down after stealing from us one of them put his fingers on my vagina trying to remoive my trouser down. Lucky enough, I was wearing a tight fitting one and so did not manage to removeit since he was in a hurry.",Nairobi
3405,"it waas on Sunday morning going to Church, at karanja stage waiting toboard a vehicle a man standing behind me snatched my golden chain.  People wo were there say anything and I felt too scared to screem, so I just watched him walk away.",Nairobi
3406,I went out with my friends and it got late.  A man came bought us drinks and the only thing I remember from there is I woke up in uthiru and my pants were ripped off.,Nairobi
3407,"I had gone to visit a friend and was dressed in skin tight and top.  When I passed this young man who called me and didn't respond.  They gathered around me and tore my tight off and its only a kind woman who wrapped me in a lesso, it was terrible for me",Nairobi
3408,"was walking and had someone whistle behind me, when I turned back thinking that it was someone I know, it was a stranger and I felt so embarrassed.",Nairobi
3409,I was walking then a man touched my buttocks and started laughing.,Nairobi
3410,"I was in a vehicle going to town from Kariobangi, this man seated next to me started touching my breasts.  It felt indecent and there and then I alighted from the bus.",Nairobi
3411,My step father who is a pastor in a certain Church used have sex with both me and my sister and when we reported to our mum she told us not to tell anyone and my mum used to support his actions..,Nairobi
3412,"it was raining at 8:00 p.m. and a stranger gave me lift. I sat behind with other two men.  They passed my alighting point and when I asked loudly my mouth was covered, the two men raped me and  dropped me at Kangemi.",Nairobi
3413,"I ws married with a daughter, her uncle raped her then he put lotion in her vagina to destroy the evidence.  We took her to Nairobi Women's Hospital and they revealed that she was raped.",Nairobi
3414,A girl was nearly raped when she went to the shop alone at night.  From then she has been adbocating for girls not walking alone at night and not talking to strange people,Nairobi
3415,"A lady wanted assistance from some man, instead he took advantage of the situation and requested her for a date",Nairobi
3416,"I stood at the bus stop, a man stepped on my toes. When I asked him why he did that, he looked at me with very hash eyes.  I decided not to say anything because I did not know his intension.",Nairobi
3417,"one day was walking from soweto to bombolulu, boys seated by the roadside whistled at me.",Nairobi
3418,"it was on Monday morning,  I was sent by my mother to buy breakfast.  A boy came to me, catcalled and said   &quot; you girl come here&quot; seeing that he was a stranger , I ran  very fast.",Nairobi
3419,I saw a girl being connered by a boy who was touching her private parts.  I trie to stop him but was slapped and told to get out of there.,Nairobi
3420,one day I was going to the shop and I saw some boys laughting looking at me and I wondered what they were laughing at.  Some boys approached me and started removing my clothes. I screemed loudly and I was rescued by passersby.,Nairobi
3421,A man took advantage of conjestion and started touching a lady.  She could not avoid it due to multitude.,Nairobi
3422,"A man found his child playing with a neighbour's child.  He took a rod and hit the neighbours child.  Upon enquiring as to why the man hit the boy, he claimed that the boy had been caught raping his daughter.  The girl was taken to hospital, examined and it came out this girl was not raped.",Nairobi
3423,Her mother was sick and she had no money to buy medicine.  She decided to start washing clothes to get money. A man asked her to wash for him clothes while washing the man came and touched her buttocks.,Nairobi
3424,"the teacher called her during break to the office when there was no any other teacher and started touching her, she ran away.",Nairobi
3425,"She was hit by a car and was at the hospital while she was in the ward, the doctor tried to rape her at midnightbut she ran away because she had already recovered.",Nairobi
3426,her uncle tried to sleep with her when her aunty left for the shop,Nairobi
3427,I was sent by my father to pick my sister from school. A man stopped me &amp; tied to kiss me but I ran away,Nairobi
3428,"a lady neightbour was taken from her house at night by some 3 men.  They raped her behind our house.  They threatened her, I do not know whether she reported or not.",Nairobi
3429,I know someone but not his name.  He goes where women are buying and pretends to buy raising his hands over them and pushing his organon them.  He leaves themand goes to others.  He does that in Soweto biashara street,Nairobi
3430,As we were playing near the dam we saw a rasta man pulling a big girl towards the dam.  The  girl was pleeding with him but he could not hear.  After a while we went to check and found him raping the girl.  We ra away.,Nairobi
3431,on my way to my uncle's home on Saturday a man was following a young girl while whistling,Nairobi
3432,"pupils were coming from school,  a boy and a girl were walking together  when the boy just landed on the girls breasts and ran away",Nairobi
3433,It was already dark and someone grabbed my sisters chain,Nairobi
3434,My cousin was raped at the bridge at 42 at night while going to the shop by two men.,Nairobi
3435,the boys wdho sit at Soweto playing Ludo always make very bad comments about girls and women passing.  It embarrases so much especiaaly when you are with someone you respect.,Nairobi
3436,The boy showing video near the Church always try to lure school girls into having sex with them.,Nairobi
3437,The boys seated at the stage were whistling at my sister and making comments about her body structure.,Nairobi
3438,A lady was wearing a top blouse and a stocking walking by the road.  Two men mocked her tat her buttocks are like six inches matress.  The lady did not talk just looked at them with sided eyes and walked on.,Nairobi
3439,"I was walking covering my head with a cap because it was drizzling.  A man came and ran away with my cap.  When I shouted for help, he said it was meant for men not for ladies.",Nairobi
3440,"A lady was walking slowly with high heeled shoes on muddy area looking keenly where to step on.  Some men started enjoying her saying &quot; if you can't walk with this type of shoes why wear? The lady did not utter a word, just looked at them with funny eyes and walked away.",Nairobi
3441,"A man touched a lady's breasts while crossing a drainage, the lady shouted and the men who were near y clicked and asked her &quot;why are you shouting? What don't you know?&quot;  the lady just continued with her journey but very embarrassed.",Nairobi
3442,"I went to buy food stuff in a shop, a man just squeezed himself towards me saying he is rushing somewhere and would like to be served before me, when I asked him what's wrong, why are you pushing me?&quot;  he said &quot;we are used to ladies bodies&quot; I got annoyed, clicked and walked away without buying.",Nairobi
3443,"A lady was called to bring cigarretes to a man who was in a private car.  She brought the cigarettes and when this man was giving her money, he clinged in the ladies hand talking to her in low tone.  The lady realized this man had hidden intensions, she removed her hands leaving the moneh.  the man dropped the money and drove away faster.",Nairobi
3444,"A school girl was passing carrying her luggages from school. The nissan no. 2 touts started enjoying her that she is too fat and asking her where she is going with the type of body she has, that she should rather get married earlier.  The girl just ignored them.",Nairobi
3445,a man was in a bar drinking but calling passing ladies to enter into the bar by the window.  When I reached near he called me but I asked him&quot;do you know me?&quot;  he said &quot;come have one bottle&quot;  I told &quot;I am not of your type excuse&quot; and I went.,Nairobi
3446,"a neighbour sent a girl of age 12 to buy milk, on her way back the man caught her hands and told her to go in the curtain.  The girl shouted and the man left her.  She ran to a neighbouring house and told the story.  As this story was catching fire, this man disappeared.",Nairobi
3447,"A lady was at the DC stage around 5:00 a.m. to travel to her rural home when men caught her,  she shouted for help but no one came to her rescue.  When people woke up it was found that the lady was raped by those men and ran away with her luggages.",Nairobi
3448,my chain was snatched at night while I was crossing the road at bombolulu,Nairobi
3449,"the boys seated at the carwash made funny faces, whistled and commented as I passed by.",Nairobi
3450,"a man asked if it possible to go with him, told him do not have that time",Nairobi
3451,there is a girl who is always sent by some man and then get paid and then he tells the girl to sleep with him and not to tell anyone,Nairobi
3452,a mother was caught and raped by some rasta at the dam site,Nairobi
3453,I saw a girl being touched aimlessly by menwho smoke bang.,Nairobi
3454,two girls were raped by onknown men at night,Nairobi
3455,"some two girls were walking at night.  Some men called them and they went, they got dragged into a corridor and got raped",Nairobi
3456,"there is a man who makes for us girl games in the our club, we go to play there but if you mess alittle he beats in the buttocks or starts to touch our breasts.",Nairobi
3457,if you report a big person to the teacher they will tell you not to pass through shortcut and that is the only way to get home faster,Nairobi
3458,a young girl was defiled by an old man where we stay and nothing was done about it.,Nairobi
3459,there is a girl who was being touched aimlessly by boys in our school but she never reported to the teacher,Nairobi
3460,Me and my friend were going to buy charcoal when a Makina driver called us but we ignored,Nairobi
3461,a woman was raped at Laini saba and she was never taken to the hospital.,Nairobi
3462,I met a man running after some girl to rape them in a coridor.  The girls were crying for help,Nairobi
3463,some girl was bought for chips worth Kshs.10 by some boy and told to eat as they go to relax in his house,Nairobi
3464,there is an old man in our plot who cheats young girls to go into his house to relax,Nairobi
3465,I was going to Church on a Sunday when I met a drunkard old man.  He called me and I ignored then he started abusing me saying &quot;malaya wewe&quot; meaning you are a prostitute.,Nairobi
3466,"At our school there are some boys who smoke bang just next to the fence and if they see a girl, the run after them",Nairobi
3467,"we were with my friend walking, met some boys who called us and we ignored.  They then said &quot;mnadhani hamtazeeka&quot; meaning &quot;you think you'll not get old",Nairobi
3468,saw some man squeezing a young girl in a corner in the evening,Nairobi
3469,Got my friend I trusted so much at highrise somomizing a class boy but I never reported to anyone and this is not the first time,Nairobi
3470,I asked two security guards for a route to Easy Coach bus terminuls.  They asked for my phone number first so as to get me the route.  After giving them they asked  me for a date and begun following me as I went.  I stopped and told him am married which he did not believe and i kept on walking,Nairobi
3471,Was going to pick up my little cousin from school when this man who was roasting maize catcalled and whistled at me.  I looked and he called me while smilling.  I did not confront him since I was in a hurry. Ignored and walked away.,Nairobi
3472,a school going boy was watching ponographic contents from a mobile phone together with his younger brother whos is still in primary school,Nairobi
3473,on my way to baba dogo clinic there are people who sit along the road hawking their items. They stare at people until you get even surprised and your legs can't walk quickly because they become week.  Then they laugh when you are not able to walk,Nairobi
3474,I was walking with my colleague when a man pulled me back and winked.  I was so mad at him that I just walked away angry.,Nairobi
3475,I have always belived that you do not just ask for direction from any person but people like security officers.  This day I asked a traffic police officer for direction.  After assisting me he asked for my phone number and from that day he keeps on inviting me for a date with him.  this man looked like 50+ years and probably had children of my age or even older.  i wouldn't imagine being a mistress to a man old enough to be my father.,Nairobi
3476,"one day I alighted from a mini bus from Nyakach, a man passed me and touched my private part.  I was shocked and goose pimples filled my body.  I abused him as he went laughing.  He was one of the people who carry luggages for travellers and they get paid.",Nairobi
3477,some men walking in a group saw me and then begun to touch their private parts.  I ignored them and hurriedly walked to pass them.  They loughed and one of them said &quot;stop pretending while you need this&quot;,Nairobi
3478,I was buying charcoal when some men passed and begun staring at me and ogled.  When I turned back they said I was pretty for a hot kiss.,Nairobi
3479,"my friend and I were walking into olympic through a small path when a man taking alcohol Sura mbaya roho safi pub shouted calling us to go to him.  We passed very quickly to avoid him. He became more louder insisting we go to him and share his alcoholic drink, he called thrice.  we took to our heal and left him shouting",Nairobi
3480,"we were walking with a friend towards olympic stage from ayany, some men were working in a building, they stopped and begun to stare at some lady infront of us.  One man catcalled her loudly but she did not notice.  The man said again &quot; yes the one holding a child&quot;  when she turned to look the man said &quot;madam undafanya watu wasifanye kazi hapa&quot; meaning &quot; madam you are making people not to work here&quot;",Nairobi
3481,"I was visiting friends and when I passed with them these men who were standing outside a certain movie den begun to staring at us  at we passed, they started catcalling and whisling.  My friends just laughed but I walked fast living my friends behind.  one man said my friends had keys to the house so i shouldn't go fast. another one said that i looked good in bed.",Nairobi
3482,"the construction workers along the railway line, anytime a lady pass nearby they normally comment, catcal,whistle.  I have faced this several times",Nairobi
3483,"I was going home yesterday to my grandma's place when I met this boy that studied in our schoo, I was carrying things in both my hands. I strethced my hands so he could greet my wrist but instead he hugged me so tight. I then pulled away and he said I looked beautiful and sexy.  i was mnot copmfortable with his comments but i said thank you.  he later invited me to his house to cook for him but i declined since he was taking the conversation too far and also considaering the way he was looking at me.",Nairobi
3484,I have been passing by a small shop where some boys I know have been making fun of me.  They flatter me a lot and I do not like it. One of them is always asking me for a kiss and a hug,Nairobi
3485,Was passing through some narrow path to get to a cyber café at the bus terminus.  A man was standing at the entrance putting on big headphones.  He was staring at me undtil I became uncomfortable.  When I excused myself to pass he ogled at me and said &quot;karibu mrembo&quot; meaning &quot;welcome beautiful&quot;.,Nairobi
3486,there was a househelp who used to sodomise a form 3 boy whose both parents were working away from home.  Whenever everyone was out of the house  the boy would come back to his house to have sex with the house help yet the parents thought he was in school. it took the intervention of his teacher who asked the parents why he was nolonger coming to school.  some concerned neighbour's househelp then had to reveal it all to save the situation.,Nairobi
3487,A friend of mine was invited for a date. Little did she know that she was being invited to a lodgingl room.  When they were inside she asked why the boy had booked the room. The boy smiled and told her that he has been hiding his feelings for the lady for a long time and wanted to tell her that day.  the boy removed his clothes expecting the lady to do the same but she refused and folded herself in a corner frightened until the boy left her.,Nairobi
3488,I got to toi market through makina stage and on the way a man accidentally knocked me on the forehead using his elbow. He was sorry and I said its fine.  He followed me and held me by my waist still telling me he is sorry. I told him I was ok and iremoved his hands from my waist. he again held my waist and now he was holding tighter.  i struggled to pull off then i walked away quickly.,Nairobi
3489,"I was walking along  olympic road when I passed some boys who wer sitted by the door where they sell CD's, higher and ruturn after watching. The bys sat there lookig and commenting on girls that were passing.  I was among the girls who were commented at.",Nairobi
3490,"some boys were lookiking at some girls who were passing by their barber shop.  Whne the girls looked down embarrased, the boys started catclling, whistling and commenting.  One of the boys harrassing the girls caught me looking at th incident then he winked at me and i just turned and walked on.",Nairobi
3491,I was walking along olympic road going to the house when a man among many other men stretched his hands across almost touching my breasts.  When I stopped he said &quot;beautiful I just want to say hallo and feel how soft you are&quot;  I moved backwards away from his reach and i walked ahead then he continued &quot; you are boasting over God's greetingsand you are not even beautiful&quot;,Nairobi
3492,A man used to pretend to be urinating behind our flats.  This man could take out his private parts whenever he saw a ladyin the cooking area which was behind the flats.  He did this more often and when people complained the landlord came and fenced all round the flats.,Nairobi
3493,"was walking looking for a saloonist when some men who were seated at a pub behind the makina drive road at a path way started commenting and whistling, one of them held my hand and pulled me towards him asking me for my phone number and it I can go to his ouse.  i pulled of and sped off quickly.",Nairobi
3494,"A man was rubbing himself against me when I turned to look at what was going on, the man pretended he was concentrating on the politicians speeches. I said nothing and when I turned again to listen to speeches he did this again.  I shouted to this man and embarrassed him ionfront of people who were gathered during Mashujaa day.  this man had also messed up his trouser.",Nairobi
3495,"I was stopped by some people who claimed they are working with the satr time company to sell digital decorders.  They said they were on sale promotions and were ready to give me a a scratch card and took it to scratch on my behalf, then they said I had won 3 cell phones and a lap top and for me to get them i had to give them 5000/=.  i told them i did not have money.  they insisted that i should call someone to send to me in my phone account and i refused.  they were peaced off and begun commenting on how bad i was dressed touching my buttocks and saying he could change my wardrobe.",Nairobi
3496,I was in a car and a man urinating on an open ground near Lyon Maid Company.  He acually did not care whether who was looking at him.  He used his middle finger to send an abussive message.,Nairobi
